"long","lat","order","hole","piece","id","group"
1407418.20238737,-2255005.59098475,908628,FALSE,"1","72","72.1"
1407455.11188898,-2254979.87934641,908629,FALSE,"1","72","72.1"
1407943.7656929,-2254640.01067013,908630,FALSE,"1","72","72.1"
1407962.65951325,-2254631.62939493,908631,FALSE,"1","72","72.1"
1408413.3684494,-2254430.13099819,908632,FALSE,"1","72","72.1"
1408873.9197089,-2254054.17127965,908633,FALSE,"1","72","72.1"
1409342.64107264,-2253738.16192916,908634,FALSE,"1","72","72.1"
1409842.08601691,-2253406.24114921,908635,FALSE,"1","72","72.1"
1410000.70631754,-2253182.93681332,908636,FALSE,"1","72","72.1"
1410342.14126661,-2252841.54537575,908637,FALSE,"1","72","72.1"
1410855.13225652,-2252472.75963878,908638,FALSE,"1","72","72.1"
1411413.5610009,-2252113.91151581,908639,FALSE,"1","72","72.1"
1412161.80880844,-2251708.87111901,908640,FALSE,"1","72","72.1"
1412913.09009242,-2251417.1036422,908641,FALSE,"1","72","72.1"
1413251.03831826,-2251297.66007048,908642,FALSE,"1","72","72.1"
1413581.58704893,-2251062.79197275,908643,FALSE,"1","72","72.1"
1413852.88283722,-2250984.92751757,908644,FALSE,"1","72","72.1"
1414122.55790108,-2250872.25238671,908645,FALSE,"1","72","72.1"
1414524.86549398,-2250526.5872688,908646,FALSE,"1","72","72.1"
1415185.16586762,-2250112.22839104,908647,FALSE,"1","72","72.1"
1415809.43432341,-2249767.02028513,908648,FALSE,"1","72","72.1"
1416549.71921384,-2249420.07809411,908649,FALSE,"1","72","72.1"
1417414.95703627,-2249060.06608012,908650,FALSE,"1","72","72.1"
1417556.09200977,-2249009.11872519,908651,FALSE,"1","72","72.1"
1417990.50772579,-2248872.87135344,908652,FALSE,"1","72","72.1"
1418589.52487729,-2248738.77557638,908653,FALSE,"1","72","72.1"
1418811.73850182,-2248636.55316174,908654,FALSE,"1","72","72.1"
1419265.2570146,-2248365.00888505,908655,FALSE,"1","72","72.1"
1419801.21005778,-2248184.26246025,908656,FALSE,"1","72","72.1"
1420345.12234489,-2248047.79635536,908657,FALSE,"1","72","72.1"
1420892.81261625,-2247969.3990808,908658,FALSE,"1","72","72.1"
1421411.76292915,-2247973.36785135,908659,FALSE,"1","72","72.1"
1421835.54983561,-2247677.73162176,908660,FALSE,"1","72","72.1"
1422229.24090335,-2247475.72780156,908661,FALSE,"1","72","72.1"
1422315.22140872,-2247431.56203706,908662,FALSE,"1","72","72.1"
1422772.68630123,-2247277.19811569,908663,FALSE,"1","72","72.1"
1423444.13900513,-2247079.18141623,908664,FALSE,"1","72","72.1"
1423786.86303152,-2246918.00564534,908665,FALSE,"1","72","72.1"
1424436.6050089,-2246740.28019391,908666,FALSE,"1","72","72.1"
1425244.60950915,-2246572.12845768,908667,FALSE,"1","72","72.1"
1425530.18116027,-2246548.0337008,908668,FALSE,"1","72","72.1"
1426164.39093747,-2246399.88744575,908669,FALSE,"1","72","72.1"
1426910.91330163,-2246322.86617564,908670,FALSE,"1","72","72.1"
1426970.89312272,-2246298.61497165,908671,FALSE,"1","72","72.1"
1427164.00628308,-2246220.39935074,908672,FALSE,"1","72","72.1"
1427770.18053315,-2245996.05216274,908673,FALSE,"1","72","72.1"
1428748.98748871,-2245796.81444606,908674,FALSE,"1","72","72.1"
1429574.54208662,-2245724.49991757,908675,FALSE,"1","72","72.1"
1429916.39507611,-2245705.38423312,908676,FALSE,"1","72","72.1"
1430429.15919819,-2245676.63420947,908677,FALSE,"1","72","72.1"
1430696.8429534,-2245655.5822848,908678,FALSE,"1","72","72.1"
1430934.83951817,-2245669.99429173,908679,FALSE,"1","72","72.1"
1431480.71025377,-2245505.48287902,908680,FALSE,"1","72","72.1"
1431639.29440665,-2245482.58387332,908681,FALSE,"1","72","72.1"
1431901.83615155,-2245444.68124645,908682,FALSE,"1","72","72.1"
1432339.01637231,-2245385.73266029,908683,FALSE,"1","72","72.1"
1432659.76132009,-2245344.13666839,908684,FALSE,"1","72","72.1"
1432821.56519773,-2245055.82470223,908685,FALSE,"1","72","72.1"
1433146.19723677,-2244542.0555917,908686,FALSE,"1","72","72.1"
1433455.75540606,-2244089.51983571,908687,FALSE,"1","72","72.1"
1433711.60872293,-2243799.3836054,908688,FALSE,"1","72","72.1"
1433843.13252359,-2243650.34582218,908689,FALSE,"1","72","72.1"
